Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-01-17 08:00:00,101440.51000000,102581.45000000,101439.77000000,102237.60000000,5380.48317000,2025-01-17 11:59:59.999,549200565.27122210,481422,3053.91502000,311714627.85537250,0
2025-01-17 12:00:00,102237.60000000,104254.19000000,102195.90000000,104000.00000000,9298.37508000,2025-01-17 15:59:59.999,959872394.44158110,982160,5032.82135000,519611690.39647410,0
2025-01-17 16:00:00,104000.00000000,105865.22000000,103841.18000000,105834.93000000,9336.85365000,2025-01-17 19:59:59.999,978568853.46073750,916646,4781.79054000,501230640.63307220,0
2025-01-17 20:00:00,105834.93000000,105847.02000000,104065.25000000,104077.48000000,5066.11158000,2025-01-17 23:59:59.999,531252934.95907080,500796,2260.24831000,237039631.83564460,0
2025-01-18 00:00:00,104077.47000000,104656.87000000,103000.25000000,103559.82000000,3518.82558000,2025-01-18 03:59:59.999,366181482.30737670,419493,1448.45302000,150754359.77295750,0
2025-01-18 04:00:00,103559.82000000,103771.21000000,102602.48000000,102821.75000000,4937.13140000,2025-01-18 07:59:59.999,509713077.70560150,567929,2331.87639000,240755930.03301990,0
2025-01-18 08:00:00,102821.75000000,103883.01000000,102277.55000000,103589.29000000,4114.11548000,2025-01-18 11:59:59.999,424073960.33757870,569582,2061.02003000,212480749.13062200,0
2025-01-18 12:00:00,103589.29000000,104988.88000000,103107.65000000,104568.96000000,5002.17801000,2025-01-18 15:59:59.999,520536474.69134130,683975,2588.46307000,269411361.82202800,0
2025-01-18 16:00:00,104568.96000000,104719.29000000,103156.02000000,104382.01000000,4197.15572000,2025-01-18 19:59:59.999,436512525.13271820,770372,1955.36254000,203373399.57850180,0
2025-01-18 20:00:00,104382.00000000,104750.00000000,103765.44000000,104556.23000000,2538.42379000,2025-01-18 23:59:59.999,264504599.20490890,391811,1222.33769000,127395128.03768270,0
2025-01-19 00:00:00,104556.23000000,105458.55000000,104013.51000000,104984.01000000,3271.33432000,2025-01-19 03:59:59.999,342660024.04054450,418015,1667.36504000,174675629.65932880,0
2025-01-19 04:00:00,104984.01000000,105634.78000000,104191.19000000,105167.12000000,4785.51322000,2025-01-19 07:59:59.999,502755998.09368970,527034,2400.36543000,252231739.95774800,0
2025-01-19 08:00:00,105167.11000000,105496.03000000,103450.69000000,104363.23000000,7895.87414000,2025-01-19 11:59:59.999,825934770.71020660,964775,3716.41871000,388880069.28356400,0
2025-01-19 12:00:00,104363.24000000,105706.48000000,104300.75000000,104936.35000000,6026.11475000,2025-01-19 15:59:59.999,632382626.81679630,807014,2835.78497000,297618654.18865820,0
2025-01-19 16:00:00,104936.35000000,106200.74000000,104520.01000000,106200.00000000,3579.79556000,2025-01-19 19:59:59.999,376382047.45952570,398855,2070.73978000,217814847.29767760,0
2025-01-19 20:00:00,106200.00000000,106422.43000000,99651.60000000,101331.57000000,17838.65099000,2025-01-19 23:59:59.999,1833308504.28948930,2156227,8388.83689000,862049830.61496790,0
2025-01-20 00:00:00,101331.57000000,102321.42000000,99550.00000000,101891.93000000,13939.26024000,2025-01-20 03:59:59.999,1405745413.87599460,1994285,6650.87333000,670601022.98139840,0
2025-01-20 04:00:00,101891.94000000,109588.00000000,101535.28000000,107120.65000000,21204.58766200,2025-01-20 07:59:59.999,2268072181.02357580,2199403,11490.02110200,1228517818.65402440,0
2025-01-20 08:00:00,107120.65000000,109193.23000000,107093.33000000,108239.19000000,9010.89785000,2025-01-20 11:59:59.999,975145803.37044520,1133460,4531.98747000,490439141.58658340,0
2025-01-20 12:00:00,108239.19000000,108700.01000000,104480.00000000,104957.99000000,13711.24313000,2025-01-20 15:59:59.999,1465114024.95911540,1995206,6713.79641000,717717195.27548430,0
2025-01-20 16:00:00,104957.99000000,107050.00000000,100333.00000000,103691.63000000,25962.90260000,2025-01-20 19:59:59.999,2696889917.60301240,3173856,12744.21565000,1324964888.62276360,0
2025-01-20 20:00:00,103691.64000000,104331.00000000,101701.01000000,102260.01000000,5700.34025000,2025-01-20 23:59:59.999,587819723.48857160,1101727,2639.63553000,272213187.39512840,0
2025-01-21 00:00:00,102260.00000000,103260.10000000,100119.04000000,102936.01000000,10133.69299000,2025-01-21 03:59:59.999,1032121114.98765130,1587896,5116.56021000,521411061.06601150,0
2025-01-21 04:00:00,102936.01000000,102974.14000000,101111.68000000,101989.05000000,5400.15858000,2025-01-21 07:59:59.999,550979455.00628700,881714,2735.48557000,279092164.92272080,0
